css-4rbku5 href,css-901oao,UserId,Tweet_Url,Date-Time,Tweets,css-9pa8cd src 2,Comments,Retweets,Likes,Impressions,css-4rbku5 2,css-4rbku5 3,css-4rbku5 4
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1720059411367129465,Nov 2,"Traffic Alert
Traffic is affected on Mathura Road in the carriageway from Ashram towards Badarpur due to breakdown of a bus near Apollo Hospital Red Light.
Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F97g6hZaIAAzine?format=jpg&name=small,1,3,19,11K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1719993789115506693,Nov 2,"Traffic Alert 
Traffic is affected at round about Seemapuri due to ongoing sewage cleaning work by civic agency. Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F96lNN4acAANCqL?format=jpg&name=medium,3,5,19,6.3K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1719982564918919174,Nov 2,"Traffic Alert 
Traffic is affected in the carriageway from Delhi Gate, Firni Road, Najafgarh towards Chhawla Bus Stand due to ongoing construction work being carried out by DJB near Chhawla Bus Stand. Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F96bAPtawAAyYLt?format=jpg&name=small,4,13,,3.4K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1719974521745387594,Nov 2,"Traffic Alert
Traffic is affected on NH-48 in the carriageway from Rajokri towards Mahipalpur due to breakdown of an LGV at Rajokri Flyover.
Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F96TtL_boAABdjh?format=jpg&name=medium,1,5,17,5.2K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1719944610330664988,Nov 2,Vehicles have been removed.,https://pbs.twimg.com/profile_images/1691678203486879745/YUTdhCiB_normal.jpg,1,3,13,5.1K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1719939705121480976,Nov 2,"Traffic Alert
Traffic is affected in the carriageway from Mahipal Pur towards Rajokri due to breakdown of a vehicle under Mahipal pur flyover. 
Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F950CT4aUAAe2-v?format=jpg&name=medium,5,4,37,8.5K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1719936019913662892,Nov 2,"Traffic Alert
Traffic is affected in the carriageway from Rao Tula Ram Marg towards Gurugram Road due to breakdown of a bus near Shani Mandir.

Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F95wr02acAAg47k?format=jpg&name=small,3,7,,3.5K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1719900998830039478,Nov 2,"Traffic Alert
Traffic may remain heavy on Mathura Road in the carriageway from Ashram towards Badarpur due to accident of a Taxi and an LGV near CNG pump at Madanpur Khadar.

Commuters are advised to plan their journey accordingly.",,2,5,15,12K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1719574167643943087,Nov 1,"Traffic Alert 
Traffic is affected in the carriageway from Anand Vihar towards Dilshad Garden due to ongoing construction work at Ramprastha. Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F90nk_ZboAAS3o_?format=jpg&name=small,2,8,30,7.6K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1719559445301371189,Nov 1,"Traffic Alert
Traffic is affected on Maa Anandmai Marg in the carriageway from Kalkaji Mandir towards Lal Kuan due to breakdown of a water tanker near Crown Plaza Red Light 

Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F90aJTlbEAALMTP?format=jpg&name=small,1,2,24,5.6K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1719350547046977821,Oct 31,"Traffic Alert
Traffic is affected on Mathura Road in the carriageway from Badarpur towards Ashram due to breakdown of a bus near CRRI Red Light.

Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F9xcLG9a8AAJp6n?format=jpg&name=medium,3,13,,4.7K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1719348694104019186,Oct 31,"Traffic Alert
Traffic is affected on Ring Road in the carriageway from Moolchand towards Lajpat Nagar flyover due to breakdown of a LGV.

Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F9xahWRboAAqFKZ?format=jpg&name=900x900,3,9,,3.6K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1718939651799724446,Oct 30,"यातायात निर्देशिका

सरदार वल्लभभाई पटेल जी की जयंती के अवसर पर 30 और 31 अक्टूबर, 2023 को विजय चौक पर 'मेरी माटी, मेरा देश-अमृत कलश यात्रा' के लिए विशेष यातायात व्यवस्था की गई है। कृपया निर्देशिका का पालन करें।",https://pbs.twimg.com/media/F9rma0-bQAEtxTN?format=jpg&name=360x360,2,6,31,8.8K,#DPTrafficAdvisory,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1718938267490669001,Oct 30,"Traffic Advisory

Special traffic arrangements have been made for 'Meri Mati Mera Desh-Amrit Kalash Yatra' at Vijay Chowk on October 30 & 31, 2023 on the occasion of Sardar Vallabhbhai Patel Ji's birth anniversary. Kindly follow the advisory.",https://pbs.twimg.com/media/F9rk9LMbUAAK5t9?format=jpg&name=360x360,2,12,46,13K,#DPTrafficAdvisory,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1718886889854529926,Oct 30,"यातायात निर्देशिका

31 अक्टूबर, 2023 को",https://pbs.twimg.com/media/F9q2aDnboAE8fLU?format=jpg&name=360x360,1,6,15,4.3K,#राष्ट्रीय_एकता_दिवस,#DPTrafficAdvisory,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1718884114324185280,Oct 30,"Traffic Advisory

Special traffic arrangements have been made in view of 'Run For Unity' from Major Dhyan Chand National Stadium on October 31, 2023 on the occasion of",https://pbs.twimg.com/media/F9qz6bnaIAAkBX4?format=jpg&name=360x360,1,11,28,12K,#RashtriyaEktaDiwas,#DPTrafficAdvisory,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1718819245482745907,Oct 30,"Traffic Alert
Traffic will be affected on Ring Road in the carriageway from Bharat Darshan Park to Rajouri Garden due to breakdown of an HTV near ESI Hospital. 

Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F9p4_HVbQAA08oX?format=jpg&name=small,2,16,,5.7K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1718693161667817975,Oct 29,"Now, traffic is normal on both the carriageways.",https://pbs.twimg.com/profile_images/1691678203486879745/YUTdhCiB_normal.jpg,2,23,,11K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1718660772841263217,Oct 29,"Traffic Alert

Both carriageways are affected at UP Gate, Gazipur Border & Murga Mandi due to protest. Please use elevated road of NH-9 and NH-24 and avoid under flyover road for Delhi-Ghaziabad  journey till 30.10.2023.",,8,16,52,35K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1718616642882838897,Oct 29,"यातायात निर्देशिका

सरदार वल्लभभाई पटेल की जयंती के अवसर पर 30 और 31 अक्टूबर, 2023 को विजय चौक पर 'मेरी माटी मेरा देश-अमृत कलश यात्रा' के दृष्टिगत विशेष यातायात व्यवस्था की गई है। कृपया निर्देशिका का पालन करें।",https://pbs.twimg.com/media/F9nAo-AbwAA_7Lz?format=jpg&name=360x360,2,10,40,10K,#DPTrafficAdvisory,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1718615825664639165,Oct 29,"Traffic Advisory

In view of 'Meri Mati Mera Desh-Amrit Kalash Yatra' at Vijay Chowk on October 30 & 31, 2023, special traffic arrangements have been made. Kindly follow the advisory.",https://pbs.twimg.com/media/F9m_4ghbIAAycIt?format=jpg&name=360x360,5,23,77,28K,#DPTrafficAdvisory,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1718582255394906442,Oct 29,"Traffic Alert
Traffic is heavy on Ring Road  in the carriageway from Punjabi Bagh towards Dhaula Kuan due to work on electric pole is being done on Mayapuri flyover. Kindly avoid the stretch.",https://pbs.twimg.com/media/F9mhbVsbMAENrUW?format=jpg&name=900x900,1,8,39,7.2K,,,
https://twitter.com/DelhiPolice,Delhi Police,@DelhiPolice,https://twitter.com/DelhiPolice/status/1718183565333303713,Oct 28,इस बार,https://pbs.twimg.com/ext_tw_video_thumb/1718183510819651584/pu/img/odOPjpKrEIbpCUwV.jpg,16,81,356,14K,#किस्सा_खाकी_का,#DPPodcast,
https://twitter.com/DelhiPolice,Delhi Police,@DelhiPolice,https://twitter.com/DelhiPolice/status/1718151509039554955,Oct 28,"Congratulations to our endless inspirations.

1st TIME EVER, Indian para athletes have achieved 100 Medals mark (more to come) at Asian Para  Games.",https://pbs.twimg.com/media/F9gZsOFXgAAW8lE?format=jpg&name=small,5,28,109,8.2K,#AsianParaGames,#100thMedals,#Cheer4India
https://twitter.com/DelhiPolice,Delhi Police,@DelhiPolice,https://twitter.com/DelhiPolice/status/1718110406085103631,Oct 28,"रामायण के रचयिता, आदिकवि महर्षि वाल्मीकि की जयंती पर आप सभी को हार्दिक शुभकामनाएं",https://pbs.twimg.com/media/F9f0TxDXMAAvycn?format=jpg&name=small,12,46,268,14K,#Valmikijayanti2023,#वाल्मीकि_जयंती,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1717941084729610729,Oct 27,"Traffic Advisory

In view of Maharishi Valmiki Jayanti processions on October 28, 2023, special traffic arrangements have been made. Kindly follow the advisory.",https://pbs.twimg.com/media/F9daFLIaQAA5lwG?format=jpg&name=360x360,11,18,81,20K,#DPTrafficAdvisory,,
https://twitter.com/DelhiPolice,Delhi Police,@DelhiPolice,https://twitter.com/DelhiPolice/status/1717928716133978225,Oct 27,"मानव सेवा सर्वप्रथम
सड़क पर तड़पते पूर्व सैनिक को CPR देकर और समय पर अस्पताल पहुँचाकर दी नई ज़िंदगी, दिल्ली पुलिस की HC अंजू ने पेश की इंसानियत की मिसाल।",https://pbs.twimg.com/ext_tw_video_thumb/1717928535351005184/pu/img/41cLrOpDnXgMJc6l.jpg,67,213,973,33K,#Heroes_of_Delhi_Police,#DelhiPoliceCares,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1717923182626394180,Oct 27,"In furtherance of our efforts to make Delhi roads safer, the",https://pbs.twimg.com/ext_tw_video_thumb/1717921798476750848/pu/img/ZnB01TUmgPd_d7P3.jpg,2,3,15,3.2K,#RoadSafety,#DelhiTrafficPolice,#FollowTrafficRules
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1717909227166113864,Oct 27,In continuation of creating,https://pbs.twimg.com/ext_tw_video_thumb/1717908668170264576/pu/img/pHh32al-9tEZg2m8.jpg,1,1,9,2.5K,#RoadSafety,#DelhiTrafficPolice,#Awareness
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1717906836580639044,Oct 27,"In continuation of our efforts to spread awareness,",https://pbs.twimg.com/ext_tw_video_thumb/1717905170674466816/pu/img/JmUM8WmmEdwuv_wl.jpg,1,8,,2.6K,#RoadSafety,#DelhiTrafficPolice,#Awareness
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1717883241502519691,Oct 27,"Traffic Alert

Due to sewage line repair work at CV Raman Marg, traffic will be affected. Please follow the suggested route.",https://pbs.twimg.com/media/F9clq36bwAAS3ry?format=jpg&name=small,2,8,24,9.4K,#DPTrafficAlert,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1717833976751214623,Oct 27,"Traffic Alert
Traffic is affected in the carriageway from RML towards 11 Murti due to breakdown of a truck. Kindly avoid the stretch",https://pbs.twimg.com/media/F9b449EbkAAo4wt?format=jpg&name=small,3,3,9,4.2K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1717816482816737361,Oct 27,"Traffic Alert
Traffic is affected on Outer Ring Road in the carriageway from Bhera Enclave towards Janak Puri and vice- versa due to ongoing construction work being carried out by DMRC. 

Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/ext_tw_video_thumb/1717816436851441664/pu/img/_cWh1xEDmdnaPEy0.jpg,3,6,32,8.9K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1717568027179589766,Oct 26,In a run up to,https://pbs.twimg.com/media/F9YHAHQbkAAUEo9?format=jpg&name=small,1,2,19,4.2K,#WorldCitiesDay,#RaahgiriDay,@CPDelhi
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1717526732687946196,Oct 26,"Traffic Alert
Traffic is affected in the carriageway from Tilak Nagar towards Moti Nagar due to breakdown of a bus near Rajouri Garden Metro Station. Kindly avoid the stretch.",https://pbs.twimg.com/media/F9XhVVjasAAuFhn?format=jpg&name=small,5,3,19,6.2K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1717385926903771474,Oct 26,"Traffic Alert
Traffic is affected in the carriageway from Rao Tula Ram Marg towards NH-8 due to breakdown of a bus at Shankar Vihar cut. Kindly avoid the stretch.",https://pbs.twimg.com/media/F9VhYeKbsAA6oQt?format=jpg&name=900x900,7,,,2.5K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1717383735753228580,Oct 26,"Traffic Alert
Traffic is affected in the carriageway from Fortis Hospital Vasant Kunj towards Andheria Mor due to leakage in underground water pipeline of DJB. Kindly avoid the stretch.",https://pbs.twimg.com/ext_tw_video_thumb/1717383686809853952/pu/img/MchCowaNfStyF_Nm.jpg,2,26,,8.3K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1717156480858943566,Oct 25,Taking forward our efforts to spread,https://pbs.twimg.com/ext_tw_video_thumb/1717155366314926080/pu/img/-41uwDuBhR9DbAHp.jpg,1,1,18,3K,#RoadSafety,#DelhiTrafficPolice,#Awareness
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1717152902030987451,Oct 25,"In continuation of our efforts to spread awareness,",,1,2,21,3.1K,#RoadSafety,#DelhiTrafficPolice,#Awareness
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1717133835870335135,Oct 25,"Traffic Alert
Traffic is affected on Ring Road in the carriageway from Raja Garden towards Punjabi Bagh due to ongoing work being carried out by DJB near flyover construction site. 
Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/ext_tw_video_thumb/1717133770095296512/pu/img/GcMLm9cz2eWImyRB.jpg,2,9,34,6.9K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1717102218674163905,Oct 25,Bus has been removed.,https://pbs.twimg.com/profile_images/1691678203486879745/YUTdhCiB_normal.jpg,10,,,4K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1717081537618104483,Oct 25,"Traffic Alert
Traffic is affected in the carriageway from Teen Murti towards Kautilya Marg due to breakdown of a bus. Kindly avoid the stretch.",https://pbs.twimg.com/media/F9RMhD_aYAAjGZF?format=jpg&name=small,2,4,33,11K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1716764814750703856,Oct 24,"Traffic Advisory

In view of",https://pbs.twimg.com/media/F9MsfigbcAAXIex?format=jpg&name=small,1,7,21,7.4K,#RaahgiriDay,#DPTrafficAdvisory,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1716752434855567773,Oct 24,"बुराई पर अच्छाई की जीत के पावन पर्व दशहरा पर आइए, मिलकर ’सड़क नियमों’ के उल्लंघन रूपी बुराइयों का अंत करें।",https://pbs.twimg.com/ext_tw_video_thumb/1716752069615661056/pu/img/mXyJ79wu6iF6YrAn.jpg,8,11,68,8K,#DelhiTrafficPolice,#Dussehra,#विजयदशमी
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1716733978630320456,Oct 24,"यातायात निर्देशिका

25 अक्टूबर, 2023 को अरुण जेटली स्टेडियम में ऑस्ट्रेलिया और नीदरलैंड के मध्य खेले जाने वाले ICC पुरुष",https://pbs.twimg.com/media/F9MQYuqaMAAcU1f?format=jpg&name=360x360,3,12,,5.5K,#CricketWorldCup2023,#DPTrafficAdvisory,#CWC2023
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1716732866460364859,Oct 24,"Traffic Advisory

In view of the ICC Men's",https://pbs.twimg.com/media/F9MPUmVa0AAI0Xd?format=jpg&name=360x360,1,3,,3.2K,#CricketWorldCup2023,#DPTrafficAdvisory,#CWC2023
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1716717448085606614,Oct 24,"यातायात निर्देशिका

25 अक्टूबर, 2023 को अरुण जेटली स्टेडियम में ऑस्ट्रेलिया और नीदरलैंड के मध्य खेले जाने वाले ICC पुरुष",https://pbs.twimg.com/media/F9MBZm6bwAA6kXv?format=jpg&name=small,7,31,,6.7K,#CricketWorldCup2023,#DPTrafficAdvisory,#CWC2023
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1716716918714044864,Oct 24,"Traffic Advisory

In view of the ICC Men's",https://pbs.twimg.com/media/F9MA6bTaUAAMmom?format=jpg&name=small,1,9,,5.2K,#CricketWorldCup2023,#DPTrafficAdvisory,#CWC2023
https://twitter.com/DelhiPolice,Delhi Police,@DelhiPolice,https://twitter.com/DelhiPolice/status/1716689882264068514,Oct 24,"दशहरा इस विश्वास को और दृढ़ करता है कि धर्म और सत्य की विजय निश्चित है

सभी को विजय दशमी की हार्दिक शुभकामनाएं",https://pbs.twimg.com/media/F9LoWXCW0AAzN3b?format=jpg&name=small,26,61,324,20K,#Dussehra,#विजयदशमी,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1715721332720377904,Oct 21,The Road Safety Cell of the,https://pbs.twimg.com/ext_tw_video_thumb/1715721111420502016/pu/img/cEnISo4EN0gqXHMy.jpg,1,13,,3.7K,#DelhiTrafficPolice,#RoadSafety,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1715713259716902989,Oct 21,"Traffic Alert
Traffic will remain affected on Lal Bahadur Shastri Marg towards Savitri Flyover and Inder Mohan Bhardwaj Marg towards GK-2/CR Park till 11:30 PM due to heavy footfall in nearby Durga Puja Pandals. Commuters are advised to plan their journey accordingly.",,1,12,,3.1K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1715712659772109031,Oct 21,"Traffic Alert
Traffic is affected on Barapulla flyover loop towards Sarai Kale khan loop due to breakdown of a vehicle on Barapulla flyover. Kindly avoid the stretch.",https://pbs.twimg.com/media/F89vkWlaIAA3cai?format=jpg&name=small,1,9,49,6.5K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1715696025472729344,Oct 21,"Traffic Alert
Traffic is affected on Ring Road in the carriageway from Delhi Cantt. Metro Station towards Mayapuri due to breakdown of a truck on Naraina flyover 

Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F89gb6magAAA8EG?format=jpg&name=900x900,4,4,17,9.8K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1715690772853592413,Oct 21,"Traffic Alert
Traffic is affected on Ring Road in the carriageway from Punjabi Bagh towards Delhi Cantt. Metro Station due to breakdown of a LGV on Mayapuri flyover.

Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F89bqXJagAAagG-?format=jpg&name=900x900,1,11,,3.4K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1715622608815931558,Oct 21,"Traffic Alert
Traffic is affected in the carriageway from Dhansa Stand, Firni road, Najafgarh towards Dhansa Border/Mitraon village due to breakdown of an HTV near Khera Mor Red Light.",https://pbs.twimg.com/media/F88dmSGbcAAMqAT?format=jpg&name=small,3,4,18,3.8K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1715602696403902789,Oct 21,"Traffic Alert
Traffic is affected in the carriageway from Yudhister Setu towards Tis Hazari Court due to breakdown of three buses.
 
Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F88Lf5ab0AAlFym?format=jpg&name=small,3,14,,3.6K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1715602252218650653,Oct 21,"Traffic Alert
Traffic is affected on Station Road Delhi Cantt. in the carriageway from Thimayya Marg Red Light towards Dhaula Kuan due to breakdown of a bus. 

Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F88LJfdaAAAo0yD?format=jpg&name=small,3,6,24,4.6K,,,
