css-901oao,css-4rbku5 href,UserId,Tweet_Url,Date,Tweets,Comments,Retweets,Likes,Likes
19K,https://twitter.com/DharmaMovies,@DharmaMovies,https://twitter.com/DharmaMovies/status/1713518514022257040,Oct 15,It all happens,5,100,563,KAL
3.3K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1715135155004977161,Oct 20,"The only permanent solution to your problems is to go inside and let go of the part of you that seems to have so many problems with reality.

- Untethered Soul",1,2,12,
6K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1695123310865178667,Aug 25,Love my new,3,3,86,Tee
6.3K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1693440105439166865,Aug 21,and,2,1,16,!!! We are having quite the day here in
11K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1690594092718473216,Aug 13,,9,12,535,
19K,https://twitter.com/DharmaMovies,@DharmaMovies,https://twitter.com/DharmaMovies/status/1713518514022257040,Oct 15,It all happens,5,100,563,KAL
18K,https://twitter.com/DharmaMovies,@DharmaMovies,https://twitter.com/DharmaMovies/status/1713625395243930041,Oct 16,Happy birthday,8,123,520,!
18K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1687171794619469825,Aug 4,Come beach with me,15,24,764,
4.7K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1687171465597308928,Aug 4,"Plan in decades, live in moments",1,15,,
368K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1666983015527104512,Jun 9,"Take risks, live your life in your own unique way",158,187,7K,
25K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1661872462295089152,May 26,,3,6,136,#throwback
21K,https://twitter.com/monikarawal,@monikarawal,https://twitter.com/monikarawal/status/1639888466598326273,Mar 26,Hahaha...this is too good. I bet even the two Anjalis from,2,3,13,would not have been able to narrate their life story better than this.
20K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1640270692427108352,Mar 27,Repeat,3,5,48,
16K,https://twitter.com/PuneTimesOnline,@PuneTimesOnline,https://twitter.com/PuneTimesOnline/status/1610855411854508034,Jan 5,"Missed out on the print edition? Don't worry, head to the e-paper to read today's",4,15,,Read:
28K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1611548368983187460,Jan 7,Loveeee a fun day at shoot,12,18,592,
17K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1606196332682772480,"Dec 23, 2022",Sending Love to anyone that needs it today,4,2,45,"@ Austin, Texas"
14K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1604719186449731585,"Dec 19, 2022",Happiness is spending time with people you Love,1,12,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1599257742426144769,"Dec 4, 2022","Have fun with this, we make way too much of this. 
Life is suppose to be fun",12,8,497,
".
.
SONG OUT NOW",https://twitter.com/radioandmusic,@radioandmusic,https://twitter.com/radioandmusic/status/1595338528904613890,"Nov 23, 2022",Pop artist,1,2,15,drops a new groovy track
".
.
SONG OUT NOW",https://twitter.com/radioandmusic,@radioandmusic,https://twitter.com/radioandmusic/status/1595338528904613890,"Nov 23, 2022",Pop artist,1,2,15,drops a new groovy track
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1591906933908582400,"Nov 14, 2022",,40,56,3.1K,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1590241477430763520,"Nov 9, 2022",That moment when you realize you still gotta remove your make up and floss,2,3,16,"@ Birmingham, Alabama"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1586966682937036800,"Oct 31, 2022",Rise and Slay,1,20,,"@ Los Angeles, California"
,https://twitter.com/ashveersingh06,@ashveersingh06,https://twitter.com/ashveersingh06/status/1581581749007839233,"Oct 16, 2022",Since it's,2,26,,", here's a throwback snap of an all grown up"
".
.
SONG OUT NOW",https://twitter.com/radioandmusic,@radioandmusic,https://twitter.com/radioandmusic/status/1595338528904613890,"Nov 23, 2022",Pop artist,1,2,15,drops a new groovy track
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1581479669093699586,"Oct 16, 2022","“Think thoughts that make you happy. Do things that make you feel good. Be with people who make you feel good. Eat things that make your body feel good. Go at a pace that makes you feel good”

Remember, this is your life. You gotta live it the way YOU LIKE IT",7,9,306,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1577874414783307776,"Oct 6, 2022","Call me a dreamer, but I believe I can have anything I want. If you can wait in love and faith, what’s yours will eventually find you",1,3,21,"@ Los Angeles, California"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1576815758788673536,"Oct 3, 2022","Just posted a photo @ Los Angeles, California",1,2,25,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1576047392331292673,"Oct 1, 2022","Hot baths & Ice cream 
kinda day",2,22,,"@ Los Angeles, California"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1573924428790071297,"Sep 25, 2022",Wild and Free,1,3,28,@ Malibu Creek State Park
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1569911358019481600,"Sep 14, 2022","Just posted a photo @ Los Angeles, California",1,1,28,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1569218589160349698,"Sep 12, 2022",You are Rare & Beautiful,12,,,"@ Los Angeles, California"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1565557579358806016,"Sep 2, 2022",Find something that makes you happy and fixate on it. That is the answer to all things. It’s the answer to getting everything that you want,9,,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1564685916504870914,"Aug 31, 2022",,2,3,57,
"website, shop now!",https://twitter.com/Timex_India,@Timex_India,https://twitter.com/Timex_India/status/1562659975230410755,"Aug 25, 2022",Here’s,1,5,22,with her Timex gym partner enjoying a pool of features that compliment her workout. Get your
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1564496958663925761,"Aug 30, 2022","Just posted a photo @ Los Angeles, California",3,,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1563221067602153473,"Aug 26, 2022","@ Los Angeles, California",1,6,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1562663607506472962,"Aug 25, 2022","Before I close my eyes tonight, I just want to thank you, for letting me have yet another Beautiful Day",4,,,
"website, shop now!",https://twitter.com/Timex_India,@Timex_India,https://twitter.com/Timex_India/status/1562659975230410755,"Aug 25, 2022",Here’s,1,5,22,with her Timex gym partner enjoying a pool of features that compliment her workout. Get your
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1561206458577850368,"Aug 21, 2022",Just faith it,2,2,27,"@ Los Angeles, California"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1558356873815896064,"Aug 13, 2022",Cats or Flowers?,81,41,1.9K,
"website, shop now!",https://twitter.com/Timex_India,@Timex_India,https://twitter.com/Timex_India/status/1562659975230410755,"Aug 25, 2022",Here’s,1,5,22,with her Timex gym partner enjoying a pool of features that compliment her workout. Get your
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1558335149510692864,"Aug 13, 2022","@ Los Angeles, California",6,,,
"@ Los Angeles, California",https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1556490909998628866,"Aug 8, 2022",,1,2,10,
,https://twitter.com/JoelOsteen,@JoelOsteen,https://twitter.com/JoelOsteen/status/1550960949879885824,"Jul 24, 2022","We’re not going to be here forever. It’s easy to live uptight, frustrated, worried, but most of the things that are upsetting us, in the big picture, don’t really matter.",237,1.5K,9K,
"@ Los Angeles, California",https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1549625062680154113,"Jul 20, 2022",What are you currently reading?,18,,,I am reading this beautiful book by @sheleanaaiyana
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1545983200949784577,"Jul 10, 2022","We weren’t meant to be busy and working all the time. These days I have to remind myself, that it’s okay to just lay and be.  It okay to take some time off to heal",16,10,641,human being > human doing.
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1543821681042636802,"Jul 4, 2022","Just posted a photo @ Los Angeles, California",13,,,
,https://twitter.com/JohnCena,@JohnCena,https://twitter.com/JohnCena/status/1542484929161953285,"Jun 30, 2022","Onward doesn’t always have to be forward. Onward can mean accepting and processing setbacks, working thru them, absorbing the lesson they yield. Onward.",594,6K,26K,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1542747638050787328,"Jul 1, 2022","@ Los Angeles, California",17,,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1541281014940438528,"Jun 27, 2022","“We've been hypnotized and conditioned into believing that we need a reason for joy, that we need a reason for gratitude.”
— Joe Dispenza.",7,9,291,
,https://twitter.com/JohnCena,@JohnCena,https://twitter.com/JohnCena/status/1541039318390738947,"Jun 26, 2022",Having the best today possible might just make yesterday look a little more golden and tomorrow look a little more hopeful.,604,5.5K,27K,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1541280438815178753,"Jun 27, 2022","“We've been hypnotized and conditioned into believing that we need a reason for joy, that we need a reason for gratitude.”

— Joe Dispenza.",3,,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1540978362650427393,"Jun 26, 2022","@ Los Angeles, California",3,,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1539040742164905986,"Jun 21, 2022",,1,3,,"@ Los Angeles, California"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1538382739195367424,"Jun 19, 2022",Just me trying to learn Piano by myself,11,8,330,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1536937441679986689,"Jun 15, 2022","“If you want a new outcome, you will have to break the habit of being yourself, and reinvent a new self.”
— Joe Dispenza @ Santa Barbara, California",1,17,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1536238260007186432,"Jun 13, 2022","Do things that make you fall in love with your life, every single day",2,15,,@ Malibu Creek State Park
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1535867180457279489,"Jun 12, 2022",Sweet babies,2,12,,"@ Santa Barbara, California"
,https://twitter.com/MichaelMatteoRo,@MichaelMatteoRo,https://twitter.com/MichaelMatteoRo/status/1535121115973943296,"Jun 10, 2022",Great meeting up with Bollywood actress,6,12,185,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1534060834678267904,"Jun 7, 2022",Our wounds are often the openings into the best and most beautiful part of us,1,2,25,– David Richo
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1533379554944774144,"Jun 5, 2022","detachment is not giving up the things in this world, but accepting the fact and to be continuously aware that nothing is permanent",11,5,207,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1533378943637671937,"Jun 5, 2022","Detachment is not giving up the things in this world, but accepting the fact and to be continuously aware that nothing is permanent",10,,,"@ Los Angeles, California"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1533197825038761984,"Jun 5, 2022","@ Los Angeles, California",2,2,14,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1532806745998778368,"Jun 4, 2022",It's being here now that's important,2,2,48,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1532614824584265729,"Jun 3, 2022","@ Los Angeles, California",1,1,11,
,https://twitter.com/DrJoeDispenza,@DrJoeDispenza,https://twitter.com/DrJoeDispenza/status/1532420385567809537,"Jun 2, 2022","Dr Joe shares a lighthearted answer to the question, ""How do you get happy?"" at the closing of our recent Week Long Advanced Retreat in San Diego.",18,69,287,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1532227565397614592,"Jun 2, 2022",Just breathe,1,15,,"@ Los Angeles, California"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1528287216069492737,"May 22, 2022","As you start to walk out on the way, the way appears",1,14,,
,https://twitter.com/realNDWalsch,@realNDWalsch,https://twitter.com/realNDWalsch/status/1527378560100356113,"May 20, 2022",It's time to make friends with your mind again. Be a nourisher of it - it's been so starved.,5,32,273,
,https://twitter.com/DrJoeDispenza,@DrJoeDispenza,https://twitter.com/DrJoeDispenza/status/1532420385567809537,"Jun 2, 2022","Dr Joe shares a lighthearted answer to the question, ""How do you get happy?"" at the closing of our recent Week Long Advanced Retreat in San Diego.",18,69,287,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1527548197823971329,"May 20, 2022",Those who don't believe in magic will never find it,8,,,@ The Oddessy Restaurant
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1526092630051913729,"May 16, 2022","“Things are just things - they have no power to hurt or to heal. Only people can do that. And we can all choose whether to be hurt or healed by the people who love us.""
That was all.
And that was everything",14,,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1525326553416073216,"May 14, 2022","@ Los Angeles, California",3,,,
,https://twitter.com/DrJoeDispenza,@DrJoeDispenza,https://twitter.com/DrJoeDispenza/status/1532420385567809537,"Jun 2, 2022","Dr Joe shares a lighthearted answer to the question, ""How do you get happy?"" at the closing of our recent Week Long Advanced Retreat in San Diego.",18,69,287,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1524283509568786432,"May 11, 2022",I'm making space for the unknown future to fill up my life with yet-to-come surprises,1,10,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1523183469198602240,"May 8, 2022",Rule #1: Life is supposed to be fun,1,7,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1522827254023307266,"May 7, 2022","Whole fresh foods, movement, connection, Meaning and Purpose",1,8,,"@ Los Angeles, California"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1518825471089205248,"Apr 26, 2022",,1,6,,"@ Los Angeles, California"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1517009251511771136,"Apr 21, 2022",Ugh I love him so much,2,2,14,"@ Los Angeles, California"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1515546488759324672,"Apr 17, 2022",Date Night,2,15,,@ The Odyssey Restaurant and Event Center
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1515223663896715266,"Apr 16, 2022",Peace > Everything,3,16,,"@ Los Angeles, California"
"Make up @kiranmakeup_44 
Hair",https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1512733899285221378,"Apr 9, 2022",Styled by,2,3,21,Accessories
"@ Mumbai, Maharashtra",https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1511990042646007816,"Apr 7, 2022",Just sending Love to everyone that needs it,3,4,25,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1510864097776001024,"Apr 4, 2022",Make a promise to yourself that you will always choose growth over comfort and dreams over fear,1,13,,"@ Mumbai, Maharashtra"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1510143339533791234,"Apr 2, 2022",It's your journey. You gotta do your work and I gotta do mine,1,20,,
,https://twitter.com/ColorsTV,@ColorsTV,https://twitter.com/ColorsTV/status/1509176117604802564,"Mar 30, 2022","Lattu game ke saath dekhne Sana aur Haarsh ke pole dance ka nazaara, kisko dekhna chaahoge aap karte yeh performance? 

Dekhiye",31,188,304,", Mon-Fri, raat 11 baje,"
,https://twitter.com/ColorsTV,@ColorsTV,https://twitter.com/ColorsTV/status/1509159506680299521,"Mar 30, 2022","Flip Flop game ne dikhaaye saare contestants ke ek, ek roop. Kisne kiya sabse best tareeke se perform?

Dekhiye",29,228,348,", Mon-Fri, raat 11 baje,"
@sanasaeed17,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1509167290863931393,"Mar 30, 2022",Because you gotta love,1,1,11,#thekhatrakhatrashow
,https://twitter.com/ColorsTV,@ColorsTV,https://twitter.com/ColorsTV/status/1509176117604802564,"Mar 30, 2022","Lattu game ke saath dekhne Sana aur Haarsh ke pole dance ka nazaara, kisko dekhna chaahoge aap karte yeh performance? 

Dekhiye",31,188,304,", Mon-Fri, raat 11 baje,"
are you listening?,https://twitter.com/indiacom,@indiacom,https://twitter.com/indiacom/status/1470665610719744000,"Dec 14, 2021",’s Anjali aka,1,8,,has transformed into a sexy diva and we can't take our eyes off her! She beats Tina's glamour
,https://twitter.com/indiaforums,@indiaforums,https://twitter.com/indiaforums/status/1506606765219192834,"Mar 23, 2022",Breaking:,1,9,,and
,https://twitter.com/indiaforums,@indiaforums,https://twitter.com/indiaforums/status/1508755644857593857,"Mar 29, 2022",and,68,560,742,give hardcore Rahul-Anjali vibes on '
,https://twitter.com/ColorsTV,@ColorsTV,https://twitter.com/ColorsTV/status/1509176117604802564,"Mar 30, 2022","Lattu game ke saath dekhne Sana aur Haarsh ke pole dance ka nazaara, kisko dekhna chaahoge aap karte yeh performance? 

Dekhiye",31,188,304,", Mon-Fri, raat 11 baje,"
@sanasaeed17,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1509167290863931393,"Mar 30, 2022",Because you gotta love,1,1,11,#thekhatrakhatrashow
,https://twitter.com/ETimesTV,@ETimesTV,https://twitter.com/ETimesTV/status/1509083633453133826,"Mar 30, 2022","Bharti Singh's hilarious punches to Sana Saeed's pole dance on a lattoo, you can't miss watching all things fun in this video from the upcoming episode of",1,6,,
,https://twitter.com/ETimesTV,@ETimesTV,https://twitter.com/ETimesTV/status/1509087592951664643,"Mar 30, 2022",WATCH: Here's what made Pratik Sehajpal show off his sculpted abs on,43,360,533,once again
@sanasaeed17,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1509167290863931393,"Mar 30, 2022",Because you gotta love,1,1,11,#thekhatrakhatrashow
@writerharsh,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1509166025584963585,"Mar 30, 2022",,7,,,#TheKhatraKhatraShow
,https://twitter.com/ETimesTV,@ETimesTV,https://twitter.com/ETimesTV/status/1509083633453133826,"Mar 30, 2022","Bharti Singh's hilarious punches to Sana Saeed's pole dance on a lattoo, you can't miss watching all things fun in this video from the upcoming episode of",1,6,,
Make Up @kiranmakeup_44,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1509057609134919681,"Mar 30, 2022",Focus on the good,1,2,15,Styled by
spotted on the sets -,https://twitter.com/PinkvillaTelly,@PinkvillaTelly,https://twitter.com/PinkvillaTelly/status/1507662525520912392,"Mar 26, 2022",:,1,11,,","
"@ Mumbai, Maharashtra",https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1508354064354009088,"Mar 28, 2022",Choose You,3,7,,
,https://twitter.com/ETimesTV,@ETimesTV,https://twitter.com/ETimesTV/status/1509083633453133826,"Mar 30, 2022","Bharti Singh's hilarious punches to Sana Saeed's pole dance on a lattoo, you can't miss watching all things fun in this video from the upcoming episode of",1,6,,
@writerharsh,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1509166025584963585,"Mar 30, 2022",,7,,,#TheKhatraKhatraShow
"@ Mumbai, Maharashtra",https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1508353287862505475,"Mar 28, 2022",Choose You,4,,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1508084396452110345,"Mar 27, 2022","@ Mumbai, Maharashtra",10,,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1507282106719911937,"Mar 25, 2022",Bombay,1,12,,"@ Mumbai, Maharashtra"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1502547965348827137,"Mar 12, 2022",Because bathroom selfies are a must,1,2,15,
@writerharsh,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1509166025584963585,"Mar 30, 2022",,7,,,#TheKhatraKhatraShow
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1502217665284575238,"Mar 11, 2022","@ Los Angeles, California",1,21,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1501454796183650305,"Mar 9, 2022","@ Los Angeles, California",1,16,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1499661195145588736,"Mar 4, 2022",Happy Birthdayyyy to the Best Man in My World,14,,,I Loveeee You Berry Much
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1497418833774133248,"Feb 26, 2022","Just posted a photo @ Los Angeles, California",1,15,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1496352340139548677,"Feb 23, 2022",22222 is a vibe,1,28,,"@ Los Angeles, California"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1496047450188292097,"Feb 22, 2022",Blessed and Grateful,229,139,9.8K,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1496038211025575936,"Feb 22, 2022","@ Los Angeles, California",7,,,
