css-4rbku5 href,UserId,Tweet_Url,Date-Time,Tweets,Comments,Retweets,Likes,Impressions,r-1p0dtai src,Retweet,Like
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719803014561571024,Nov 2,Some sick person gave away his Man United season ticket in kids Halloween sweets,243,1.7K,25K,1.8M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719777989389406442,Nov 1,"Messi’s longevity is unreal

(",199,1.2K,21K,765K,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719769945209278787,Nov 1,The best football prank,306,5.1K,66K,6.8M,blob:https://twitter.com/8efcfe26-0275-4d68-a44f-da95f5dd8b78,From,TF Videos
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719748634319683761,Nov 1,Goated reply,599,1.9K,46K,4.8M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719336329157198275,Oct 31,"Messi at 36 vs Ronaldo at 36

(",370,3.4K,65K,3.9M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719297383014490483,Oct 31,"""Real Madrid fans still hopes we will join their club.""",497,3.5K,77K,2.7M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719129819714118108,Oct 31,MLS vs Premier League,254,3.5K,81K,3.6M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719112559893131345,Oct 31,Messi wins his 8th,640,7.4K,43K,3.1M,blob:https://twitter.com/354f1558-1574-4b53-89de-83b775dc0c18,From,TF Videos
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719107814579130376,Oct 31,Lionel Messi,197,1K,10K,593K,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719106379741274436,Oct 31,Ronaldo fans watching Messi win his 8th,667,5.6K,76K,2.2M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719104838791823816,Oct 31,Coming soon to Netflix,1K,14K,102K,4.1M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719100841859150154,Oct 31,Maguire being escorted out of the building after he was caught trying to attend the Ballon d'Or gala.,192,989,11K,647K,blob:https://twitter.com/0288b491-2fd8-434a-9843-f0d23041c8d4,From,Top 10
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719098135522259331,Oct 31,Rema shook everyone's hand and left Messi hanging,694,1.7K,34K,1.9M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719091709852758247,Oct 31,Make it make sense,1.3K,20K,208K,10M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719085313417474442,Oct 31,"""Why are we still here? Just to suffer?""",251,2K,56K,1.6M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719082495809831130,Oct 31,Ballon d'Or contenders arriving for the ceremony,146,1.2K,10K,704K,blob:https://twitter.com/207f8aef-d9dc-4db6-bfa1-bc650f5c97ce,From,TF Videos
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719073945146581338,Oct 31,"Someone call the police, a robbery is about to take place in Paris.",849,7.1K,69K,6.3M,blob:https://twitter.com/9c3b83fb-2a3b-4dd8-b651-76907b6f3335,·,Oct 31
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719072068371669031,Oct 31,Messi winning Ballon d'Or over Haaland is like...,368,5.9K,40K,1.5M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718917358482248188,Oct 30,,1.1K,5.8K,97K,6.1M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718750744629608643,Oct 30,"""Don’t you dare touch me you, I'm not your girlfriend.""",382,5.2K,86K,4M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718713515790180533,Oct 30,Premier League goals this season,194,2K,33K,1M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718696943935774991,Oct 30,It's Haaland Airlines,276,3.1K,49K,1.2M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718688436545081795,Oct 29,Antony thought Doku was his girlfriend,1.3K,9.2K,105K,12M,,From,.
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718686237077475680,Oct 29,"Rashford: ""I would like to thank my friend Kyle Walker. He kept me warm and cozy in his pocket in this cold Manchester weather.""",314,3.5K,41K,1.3M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718683660914679854,Oct 29,RIP Manchester United,274,1.7K,15K,709K,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718681614719324646,Oct 29,Manchester derby FT score,418,4.1K,34K,1.1M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718679722849079341,Oct 29,"Name: Rashford

Hype: Mbappe

Expectation: Ronaldo

Haircut: Bellingham

Predicted Performance: Haaland

Reality: Lukaku.. with a little touch of Heskey.. spiced with Timo Werner.. & flavoured with a little touch of Higuain.",2K,14K,111K,6.8M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718677570093240496,Oct 29,Manchester United fans watching the derby,242,1.6K,10K,626K,blob:https://twitter.com/9a8c1156-5558-423e-82ad-4dbc8563b460,From,TF Videos
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718675610627645735,Oct 29,Rashford on Instagram at half time,411,4.3K,92K,4.4M,,,
https://twitter.com/Palworld_EN,@Palworld_EN,https://twitter.com/hashtag/Palworld?src=hashtag_click,#Palworld,"is the open-world survival monster-catching game!

Add it to your wishlist and wait for the release!",＜Steam page＞,https://,1,7,blob:https://twitter.com/bc2f4f1f-5148-4855-9a3b-91a396f79130,?twclid=22ta6ri1xmuo05xfzymmr2h84u,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718672828055072887,Oct 29,"Haaland only score against small clubs they said, well said.",447,5.3K,72K,2.5M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718669047460426004,Oct 29,Man United needs a goal against Man City and they bring on Mason Mount,110,1K,11K,1.6M,blob:https://twitter.com/9848b3a0-9a8e-40d1-8d3f-6ac13fb39692,From,Allan Saint-Maximin
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718610228726374652,Oct 29,"Tag a Barca fan and say ""Hey Jude""",493,2.1K,14K,1.1M,blob:https://twitter.com/7fbdef06-59a5-464e-9677-6802ddb29ab0,From,Torren
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718596814662680685,Oct 29,LEAKED: Man United's starting XI against Man City,446,2.5K,39K,1.9M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718567858119004400,Oct 29,Manchester derby day,945,8.8K,75K,3.7M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718372223629529119,Oct 29,Chelsea fans,151,1.1K,11K,901K,blob:https://twitter.com/6b672e6e-93de-43aa-82fd-2263030717cd,From,Feroze Ali
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718331778304295187,Oct 28,Brentford have won more league games at Stamford Bridge in the last 6 months than Chelsea,173,1.2K,13K,825K,blob:https://twitter.com/00e983dc-7ae2-4531-8e4d-73b709c9569e,From,LJRC
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718323829016064222,Oct 28,"Barca fans: Bellingham only scores tap ins.

Bellingham from 30 yards:",163,1.6K,19K,1.2M,blob:https://twitter.com/2757d7f4-f42d-4a74-98a9-e4b6e925bf49,From,Panic! At The TL
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718315865236492448,Oct 28,"Forget Spain, Barca aren’t even the best club in Catalonia.",358,4K,70K,2.3M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718312101108723908,Oct 28,Birmingham City after retiring shirt of 17 yrs old Bellingham,134,2.8K,30K,3.7M,blob:https://twitter.com/1b0ff3d6-1740-44a5-b834-3ecb5e08934f,From,reaction memes @VideoReacts
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718308537527419006,Oct 28,"Vini: ""Look at this stadium Jude, we own it.""",326,3.7K,78K,1.8M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718372223629529119,Oct 29,Chelsea fans,151,1.1K,11K,901K,blob:https://twitter.com/6b672e6e-93de-43aa-82fd-2263030717cd,From,Feroze Ali
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718331778304295187,Oct 28,Brentford have won more league games at Stamford Bridge in the last 6 months than Chelsea,173,1.2K,13K,825K,blob:https://twitter.com/00e983dc-7ae2-4531-8e4d-73b709c9569e,From,LJRC
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718323829016064222,Oct 28,"Barca fans: Bellingham only scores tap ins.

Bellingham from 30 yards:",163,1.6K,19K,1.2M,blob:https://twitter.com/2757d7f4-f42d-4a74-98a9-e4b6e925bf49,From,Panic! At The TL
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718312101108723908,Oct 28,Birmingham City after retiring shirt of 17 yrs old Bellingham,134,2.8K,30K,3.7M,blob:https://twitter.com/1b0ff3d6-1740-44a5-b834-3ecb5e08934f,From,reaction memes @VideoReacts
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718303118755008521,Oct 28,Barca's new owner,633,8K,84K,2.4M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718300954791960591,Oct 28,Bellingham at Real Madrid,773,16K,132K,9.6M,blob:https://twitter.com/58fac129-5c1e-40f7-907e-f41b456209a3,From,TF Videos
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718299520868470789,Oct 28,Bellingham to Barca fans after scoring the winner,555,12K,105K,5.6M,blob:https://twitter.com/82f73922-3877-4a0b-89e1-c5c266927c0e,From,TF Videos
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718298310207787227,Oct 28,Bellingham after winning the game against Barcelona,201,2.4K,32K,915K,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718267456001618138,Oct 28,Pray for Chelsea,373,3.6K,32K,1.3M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718263613218017639,Oct 28,"In the last 30 days:

Chelsea with Mudryk: 4 games, 3 wins, 1 draw

Chelsea without Mudryk: 1 game, 1 loss",139,1.2K,20K,645K,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718261034044076371,Oct 28,Brentford whenever they play against Chelsea,273,1.9K,36K,1.1M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718258908488249370,Oct 28,Chelsea back to default settings,426,3.5K,28K,1.4M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718257602226766125,Oct 28,Chelsea fans,546,4.2K,46K,1.6M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718248466101449001,Oct 28,Chelsea is BACK!!,308,2.1K,20K,1.5M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718215733681786952,Oct 28,El Clasico today,494,4.1K,67K,3.2M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718011721791496236,Oct 28,Harry Kane right now,706,5.4K,101K,3.8M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1718000736271815161,Oct 28,0 shots on target but still winning the game,164,1.9K,39K,1.4M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1717998522128077212,Oct 28,Own goal has scored more league goals for Tottenham this season than Richarlison,222,1.6K,29K,1M,,,
